日期,市场名称,蔬菜名,最低价,最高价
2019-10-17,广东汕头农副产品批发中心市场,大白菜,2.00,2.20
2019-10-17,广东汕头农副产品批发中心市场,洋白菜,1.20,1.40
2019-10-17,广东汕头农副产品批发中心市场,油菜,4.40,5.00
2019-10-17,广东汕头农副产品批发中心市场,小白菜,2.40,2.80
2019-10-17,广东汕头农副产品批发中心市场,生菜,2.40,3.00
2019-10-17,广东汕头农副产品批发中心市场,菠菜,5.00,6.00
2019-10-17,广东汕头农副产品批发中心市场,茼蒿,8.00,8.40
2019-10-17,广东汕头农副产品批发中心市场,苋菜,4.80,5.20
2019-10-17,广东汕头农副产品批发中心市场,香菜,8.00,9.00
2019-10-17,广东汕头农副产品批发中心市场,空心菜,5.60,6.00
2019-10-17,广东汕头农副产品批发中心市场,韭菜,4.60,5.20
2019-10-17,广东汕头农副产品批发中心市场,小葱,7.00,7.60
2019-10-17,广东汕头农副产品批发中心市场,红萝卜,1.60,2.40
2019-10-17,广东汕头农副产品批发中心市场,白萝卜,1.20,1.80
2019-10-17,广东汕头农副产品批发中心市场,土豆,2.20,2.80
2019-10-17,广东汕头农副产品批发中心市场,山药,6.00,8.00
2019-10-17,广东汕头农副产品批发中心市场,芋头,4.40,6.40
2019-10-17,广东汕头农副产品批发中心市场,葱头,5.00,6.40
2019-10-17,广东汕头农副产品批发中心市场,大葱,4.00,4.80
2019-10-17,广东汕头农副产品批发中心市场,生姜,7.00,8.60
2019-10-17,广东汕头农副产品批发中心市场,大蒜,7.00,8.00
2019-10-17,广东汕头农副产品批发中心市场,芹菜,6.00,7.00
2019-10-17,广东汕头农副产品批发中心市场,西洋芹,3.00,4.00
2019-10-17,广东汕头农副产品批发中心市场,莴笋,1.60,2.00
2019-10-17,广东汕头农副产品批发中心市场,青笋,2.00,2.60
