市场id,市场名称
1,['内蒙包头市友谊蔬菜批发市场']
3,['成都市农产品中心批发市场']
4,['安徽合肥周谷堆农产品批发市场']
5,['济南市八里桥蔬菜批发市场']
8,['江苏凌家塘农副产品批发市场']
20,['浙江良渚蔬菜市场开发有限公司']
30,['北京新发地农副产品批发市场信息中心']
33,['西安新土门蔬菜批发市场']
34,['广州白云山农产品综合批发市场']
35,['江苏联谊农副产品批发市场']
36,['山西省长治市紫坊农产品综合交易市场有限公司']
38,['陕西咸阳新阳光批发市场']
39,['河北秦皇岛昌黎农副产品批发市场']
40,['长春蔬菜中心批发市场集团有限公司']
43,['山东滕州蔬菜批发市场']
48,['黑龙江佳木斯蔬菜副食品批发市场']
49,['浙江嘉善曹安农产品批发有限公司']
50,['山东寿光蔬菜批发市场']
51,['北京八里桥农产品中心批发市场有限公司']
52,['浙江金华农产品批发市场']
54,['浙江嘉兴蔬菜批发交易市场']
55,['浙江省慈溪市蔬菜批发市场']
56,['乐亭县冀东果菜批发市场']
57,['宁波市蔬菜副食品批发交易市场']
58,['郑州陈砦蔬菜批发交易市场']
59,['江苏宜兴市瑞德蔬菜果品批发市场有限公司']
60,['河南郑州毛庄蔬菜批发市场']
61,['山东章丘蔬菜批发市场']
62,['陕西西安市胡家庙蔬菜批发市场']
63,['辽宁朝阳市果菜批发市场']
64,['安徽蚌埠海吉星农产品物流有限公司']
65,['江西乐平市蔬菜批发大市场']
67,['广西南宁五里亭蔬菜批发市场']
68,['襄樊市蔬菜批发市场']
69,['河北省永年县南大堡蔬菜批发市场']
70,['北京朝阳区大洋路综合市场']
71,['上海农产品中心批发市场经营管理有限公司']
72,['绍兴市蔬菜果品批发交易市场有限公司']
73,['山东鲁中蔬菜批发市场']
74,['南京白云亭农副产品批发市场']
75,['徐州农副产品中心批发市场']
76,['哈尔滨地利农副产品有限公司']
77,['四川金堂县官仓镇综合（果蔬）市场']
78,['安徽和县皖江蔬菜副食品批发市场']
79,['北京京丰岳各庄批发市场']
80,['四川成都西部禽蛋批发市场']
81,['宁夏吴忠东郊农产品批发市场']
82,['安徽淮南市安成鑫海批发大市场']
83,['北京水屯农副产品批发市场']
84,['北京大洋路农副产品批发市场(畜禽报价)']
85,['北京顺鑫石门农副产品批发市场']
86,['北京八里桥农产品中心批发市场(畜禽报价)']
87,['北京新发地农产品有限公司(畜禽报价)']
88,['秦皇岛昌黎农副产品批发市场(畜禽报价)']
89,['河北唐山市荷花坑市场经营管理有限公司']
90,['石家庄桥西蔬菜中心批发市场有限公司']
91,['张家口怀来县京西果菜批发市场']
92,['河北石家庄高邑蔬菜大市场']
93,['邯郸市(馆陶)金凤禽蛋农贸批发市场']
94,['河北涿州农副产品批发交易中心(畜禽蛋价格)']
95,['青岛市华中蔬菜批发市场']
96,['青岛市城阳蔬菜水产品批发市场有限公司']
97,['山西大同振华蔬菜批发市场']
98,['西安市朱雀农产品交易中心']
99,['大庆市农副产品综合批发市场']
100,['大连熟食品交易中心']
101,['呼和浩特市东瓦窑农副产品批发市场有限责任公司']
102,['安徽舒城蔬菜批发市场']
103,['乌鲁木齐北园春（集团）有限责任公司北园春市场']
104,['新疆克拉玛依农副产品批发市场']
105,['湖南长沙马王堆农产品股份有限公司']
106,['江西九江浔阳大市场']
107,['东莞市江南农副产品批发市场']
108,['广西梧州竹湾农副产品批发市场']
109,['江苏苏州南环桥农副产品批发市场']
110,['江苏海安农副产品批发市场']
111,['北京水屯农副产品批发市场中心']
112,['张家口市宣化盛发蔬菜水产副食品综合交易市场']
113,['邢台市食品蔬菜集团顺兴蔬菜批发市场']
114,['河北石家庄桥西蔬菜中心批发市场']
115,['辽宁沈阳粮食批发市场']
116,['新疆克拉玛依农副产品批发市场']
117,['武汉白沙洲农副产品大市场有限公司']
118,['湖北省黄石农产品中心批发市场']
119,['湖北华中粮食中心批发市场']
120,['九江粮食批发市场']
121,['东莞信立国际农产品贸易城']
122,['无锡三里桥粮油批发市场']
123,['浙江省农都农副产品批发交易市场']
124,['福州市亚峰蔬菜批发市场']
125,['云南元谋蔬菜批发交易市场']
126,['临清市桑树园蔬菜专业批发市场']
127,['河南新野县蔬菜批发市场']
128,['山东省泰安市岱岳区房村镇西良甫村西红柿蔬菜批发市场']
129,['广西南宁市五里亭蔬菜批发市场']
131,['郑州农产品物流配送中心有限公司']
132,['焦作市张村无公害蔬菜批发市场']
133,['山东金乡大蒜专业批发市场']
134,['河北馆陶金风市场']
135,['保定市大型瓜果蔬菜批发市场']
137,['唐山金玉农产品综合交易中心']
138,['河北省永年县河西堡蔬菜批发市场']
139,['永年县科源蔬菜专业合作社基地市场']
140,['河北省邯郸市曲周县广夏蔬菜批发市场']
141,['河南省新野县蔬菜批发交易市场']
142,['潍坊市南下河蔬菜批发市场']
143,['宁波江北名特优农副产品批发交易市场']
144,['河北省永年县义井堡蔬菜批发市场']
145,['承德市蔬菜果品批发市场']
146,['寿光洛城贾家蔬菜市场']
147,['焦作市蒋村无公害蔬菜批发市场']
148,['天津市王顶堤水产批发市场']
149,['重庆市江北区观音桥农贸市场管理处']
150,['徐州农副产品中心批发市场']
151,['唐山市荷花坑市场经营管理有限公司']
152,['四川南充川北农产品交易有限公司']
153,['江苏联谊农副产品批发市场']
154,['湖北潜江市江汉农产品大市场']
155,['河北唐山市荷花坑市场 ']
156,['北京合美渔都农产品批发中心']
157,['江苏省吕四港水产品批发市场']
158,['安徽舒城蔬菜批发市场']
159,['安徽砀山农产品中心惠丰批发市场']
160,['天津韩家墅海吉星农产品物流有限公司']
161,['青岛抚顺路蔬菜副食品批发市场股份有限公司']
162,['新疆克拉玛依农副产品批发市场 ']
163,['新疆兵团农二师库尔勒市']
164,['江苏省南京农贸中心']
165,['江苏凌家塘市场发展有限公司']
166,['湖南长沙马王堆蔬菜批发市场']
167,['湖南长沙马王堆蔬菜批发市场']
168,['浙江省慈溪市蔬菜批发市场']
170,['浙江宁波市蔬菜副食品批发交易市场']
171,['温州菜篮子农副产品批发市场']
172,['浙江嘉兴蔬菜批发交易市场']
173,['山西太原市城东利民果菜批发市场']
174,['江苏苏州南环桥农副产品批发市场']
175,['河北保定工农路蔬菜果品批发市场']
176,['江西上饶市赣东北农产品批发大市场']
177,['天津市红旗农贸综合批发市场']
178,['山西长治市金鑫瓜果批发市场']
179,['大连熟食品交易中心']
180,['浙江省温州水产品批发交易市场']
183,['唐山金玉农产品批发市场']
184,['宁波海田果品批发市场']
185,['兰州张苏滩瓜果批发市场']
186,['河北省怀来县京西果菜批发市场有限责任公司']
187,['浙江金华农产品批发市场']
188,['新疆克拉玛依农副产品批发市场']
189,['天津市红旗农贸综合批发市场有限公司']
190,['浙江金华农产品批发市场']
191,['河北秦皇岛昌黎农副产品批发市场']
192,['杭州果品有限公司艮山门批发市场']
193,['阳泉蔬菜副食有限公司']
194,['山西省大同市振华蔬菜批发市场有限责任公司']
195,['江苏淮海蔬菜批发交易市场']
196,['贵州遵义坪丰农副产品综合批发市场']
197,['山东青岛华中蔬菜批发市场']
198,['内蒙古鄂尔多斯市富兴商贸']
199,['北京朝阳区大洋路综合市场']
200,['甘肃永登大同批发市场']
201,['韶关市翁源粤北农副产品批发市场']
202,['山东青岛平度南村蔬菜批发市场']
203,['山东济南匡山农产品综合批发市场']
204,['山东东江果蔬菜批发市场']
205,['湖南吉首市蔬菜果品批发大市场']
206,['张北县坝上蔬菜产业有限公司']
